Датум на билтен,СВР,ПС на внесување,Општа област,Област на криминал,Дело,Датум на случување,Време на случување,Општина,Локација,Настан,Штета,Корист
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/11/2014,11:00:00 AM,БИТОЛА,аеродром „Александар Велики“ во Скопје,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"21,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/14/2014,2:00:00 PM,БИТОЛА,"ул. 2-ри Септември бр. 13, ","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"8,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/15/2014,3:00:00 PM,БИТОЛА,"ул. Ордан Николов бр, 56, ","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"10,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/15/2014,4:00:00 PM,БИТОЛА,ул. Максим Горки,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"2,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Измама,10/15/2014,9:30:00 AM,БИТОЛА,"ул.""Прилепска"" бр.60/4-47, ","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"27,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Разбојништво,10/15/2014,3:00:00 PM,БИТОЛА, ул.„Пирин“ бр.2,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,700.00 ден
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Разбојништво,10/15/2014,3:00:00 PM,БИТОЛА,на ул.„Пирин“ бр.2,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"2,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Разбојништво,10/15/2014,3:00:00 PM,БИТОЛА,ул.„Пирин“ бр.2 ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"6,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/15/2014,10:30:00 AM,БИТОЛА,ул*Климент Охридски* бр:20-б,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со тепачка,10/15/2014,8:20:00 AM,БИТОЛА,ул Народни Херои ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/15/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со физички напад,10/15/2014,3:00:00 AM,БИТОЛА,Сенатор казино,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/15/2014,СВР БИТОЛА,ПС за БПС БИТОЛА,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со телесни повреди,10/15/2014,11:45:00 AM,БИТОЛА,ул.Солунска пред куќен бр.83 во Битола,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,500.00 ден",0.00 ден
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/13/2014,5:15:00 PM,ПРИЛЕП,ул.Сутјеска бр.7,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","9,000.00 ден","9,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/15/2014,6:30:00 AM,ПРИЛЕП,ул.Дебарца бр.54 Прилеп,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","4,000.00 ден","4,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Злоупотреба на службена положба и овластување,10/13/2014,10:30:00 AM,ПРИЛЕП,Ловно Друштво Мукос-Прилеп,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,"Кражба на електрична енергија, топлинска енергија или природен гас",10/15/2014,1:30:00 PM,ПРИЛЕП,во Прилеп на ул.Струшка бр.52,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Одземање моторно возило,10/15/2014,7:00:00 AM,ПРИЛЕП,ул.Марксова бр.75 Прилеп,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","180,000.00 ден","180,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Оштетување и неовластено навлегување во компјутерски систем,10/14/2014,1:00:00 PM,ПРИЛЕП,"Комерцијална Банка Скопје, Филијала Прилеп","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","2,000.00 ден","2,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/7/2014,7:00:00 AM,ПРИЛЕП, ул.Василе Павлоски - Џгуре бр.21 Прилеп,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден","3,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/14/2014,1:00:00 PM,ПРИЛЕП,"мв Поводеници, Прилеп","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден","3,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/14/2014,11:00:00 PM,ПРИЛЕП,ул.Ѓорѓи Ѓорѓиу Деж бр.26 Прилеп,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","9,000.00 ден","9,000.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/15/2014,12:45:00 AM,ПРИЛЕП,ул.Херој Карпош бб пред гостилница “Пајтон“,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","2,500.00 ден","2,500.00 ден"
10/15/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/15/2014,7:30:00 AM,ПРИЛЕП,ул.Киро Пајмакоски бр.38 б.,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","9,000.00 ден","9,000.00 ден"
10/14/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Загрозување на сигурноста - п.т.,10/14/2014,11:20:00 AM,БИТОЛА,ул.Прилепска бр.55/89 Битола,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/14/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Загрозување на сигурноста - п.т.,10/14/2014,3:30:00 PM,БИТОЛА,ул.Прилепска бр.19/36 Битола,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/14/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Загрозување на сигурноста - п.т.,10/14/2014,5:00:00 PM,БИТОЛА,ул.Ј.палигора бр.1/5 Битола,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/14/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Одземање моторно возило,10/13/2014,9:00:00 PM,БИТОЛА,ул.Р.Делчева бр.11 Битола,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","70,000.00 ден",0.00 ден
10/14/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Оштетување туѓи предмети ,10/14/2014,4:00:00 PM,БИТОЛА,стопански двор на АД Транскоп патнички сообраќај ул.Боримечка бб Битола,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,000.00 ден",0.00 ден
10/14/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/14/2014,12:30:00 PM,БИТОЛА,ул.Леринска бр.74 Битола,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","12,000.00 ден",0.00 ден
10/14/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со физички напад,10/13/2014,7:30:00 PM,ПРИЛЕП,"ул.,,Самоилова“ пред Интернат","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/14/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со физички напад,10/14/2014,5:00:00 PM,ПРИЛЕП,ул.Романија бр.40,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/14/2014,СВР БИТОЛА,ПО за БПС ПРИЛЕП,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со материјална штета,10/14/2014,11:25:00 AM,ПРИЛЕП,Рас.од ул.Лазо Филипоски и ул Бошко Јанкоски,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","50,000.00 ден",0.00 ден
10/14/2014,СВР БИТОЛА,ПО РОПОТОВО,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со физички напад,10/14/2014,8:00:00 PM,ДОЛНЕНИ,с.Зрзе,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/14/2014,СВР БИТОЛА,ПС-ОН МАКЕДОНСКИ БРОД,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/14/2014,8:30:00 AM,МАКЕДОНСКИ БРОД,место викано Горни гар атар на с.Г.Крушје.,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/14/2014,СВР БИТОЛА,ПС-ОН МАКЕДОНСКИ БРОД,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/14/2014,10:00:00 AM,МАКЕДОНСКИ БРОД,место викано Вишања атар на село Т.село,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/14/2014,СВР БИТОЛА,ПС-ОН КРУШЕВО,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,10/14/2014,10:00:00 AM,КРУШЕВО,Крушево,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","5,000.00 ден","5,000.00 ден"
10/13/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/13/2014,2:30:00 PM,БИТОЛА,И.милутиновиќ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден",0.00 ден
10/13/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/13/2014,8:00:00 AM,БИТОЛА,Фулм,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"10,000.00 ден"
10/13/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Незаконито влијание врз сведоци,10/13/2014,1:45:00 PM,МОГИЛА,Могила,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/13/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Предизвикување на општа опасност,10/13/2014,5:00:00 AM,БИТОЛА,Брегалница 69 б,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","30,000.00 ден",0.00 ден
10/13/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Производство и дистрибуција на детска порнографија,10/13/2014,10:00:00 AM,БИТОЛА,Ф.Ф.Македонски,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/13/2014,СВР БИТОЛА,ПС-ОН БИТОЛА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Разбојништво,10/13/2014,8:00:00 PM,БИТОЛА,Томе Петровски“ бр. 2-а ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден",0.00 ден
10/13/2014,СВР БИТОЛА,ПС-ОН РЕСЕН,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,10/13/2014,1:03:00 PM,РЕСЕН,"мв.Присој,кај с.Љубојно","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/13/2014,СВР БИТОЛА,ПС-ОН РЕСЕН,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/13/2014,6:23:00 PM,РЕСЕН,атар на с.Горно Дупени,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/13/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/13/2014,7:30:00 AM,ПРИЛЕП,ул.Блаже Темелкоски бр.3,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","4,000.00 ден","4,000.00 ден"
10/13/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/13/2014,7:30:00 AM,ПРИЛЕП,ул.Драган Димески бр.8,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","4,000.00 ден","4,000.00 ден"
10/13/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/13/2014,10:50:00 AM,ПРИЛЕП, ул.Косовска бр.3 ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,800.00 ден","1,800.00 ден"
10/13/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/13/2014,1:30:00 PM,ПРИЛЕП,спортска обложувалница Моцарт лоцирана на булевар Гоце Делчев,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,000.00 ден","1,000.00 ден"
10/13/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/13/2014,3:10:00 PM,ПРИЛЕП,ноќен клуб ВИП ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,500.00 ден","1,500.00 ден"
10/13/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/13/2014,3:00:00 PM,ПРИЛЕП,на крајот од селото Големо Коњари,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","20,000.00 ден","20,000.00 ден"
10/13/2014,СВР БИТОЛА,ПС-ОН ПРИЛЕП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Уништување или оштетување на јавни инсталации,10/13/2014,1:30:00 PM,ПРИЛЕП,ул.Самоилова бр.13/2,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/13/2014,СВР БИТОЛА,ПО за БПС ПРИЛЕП,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со материјална штета,10/13/2014,5:00:00 PM,ПРИЛЕП,"ул.,,Јоска Јорданоски“ пред куќен бр.232","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден",0.00 ден
10/13/2014,СВР БИТОЛА,ПО КРИВОГАШТАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/13/2014,7:00:00 PM,КРИВОГАШТАНИ,с.Кривогаштани,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","15,000.00 ден",0.00 ден
10/13/2014,СВР БИТОЛА,ПО РОПОТОВО,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/13/2014,9:30:00 AM,ДОЛНЕНИ,О.У. Пецо Даскалот с.Долнени,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,000.00 ден",0.00 ден
